Age (bin),Age,Answer,Negative Count,Category,Email Address,End Date,External Data Reference,Finished,Gender,IP Address,Location Accuracy,Location Latitude,Location Longitude,Name,Number of Records,QuestionID,Score,Question Text,Question ID,ResponseID (demographics),Response ID,Response Set,Start Date,Status,Type of Customer
40,55,Highly Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,6,4,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_0xQbm34QzqiL2Pb,R_0xQbm34QzqiL2Pb,Default Response Set,8/7/17 13:20,2,Casual
60,64,Highly Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,6,4,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_bDzqAkV2Rdc2L2d,R_bDzqAkV2Rdc2L2d,Default Response Set,8/7/17 13:20,2,Casual
40,55,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_0xQbm34QzqiL2Pb,R_0xQbm34QzqiL2Pb,Default Response Set,8/7/17 13:20,2,Casual
60,64,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_bDzqAkV2Rdc2L2d,R_bDzqAkV2Rdc2L2d,Default Response Set,8/7/17 13:20,2,Casual
40,55,Dissatisfied,1,Reception,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,3,2,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_0xQbm34QzqiL2Pb,R_0xQbm34QzqiL2Pb,Default Response Set,8/7/17 13:20,2,Casual
60,64,Dissatisfied,1,Reception,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,3,2,How satisfied were you with the following aspects of the restaurant experience?-Reception,3,R_bDzqAkV2Rdc2L2d,R_bDzqAkV2Rdc2L2d,Default Response Set,8/7/17 13:20,2,Casual
40,55,Highly Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,1,1,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_0xQbm34QzqiL2Pb,R_0xQbm34QzqiL2Pb,Default Response Set,8/7/17 13:20,2,Casual
60,64,Dissatisfied,1,Reservation Process,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,1,2,How satisfied were you with the following aspects of the restaurant experience?-Reservation Process,1,R_bDzqAkV2Rdc2L2d,R_bDzqAkV2Rdc2L2d,Default Response Set,8/7/17 13:20,2,Casual
40,55,Highly Dissatisfied,1,Server,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,4,1,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_0xQbm34QzqiL2Pb,R_0xQbm34QzqiL2Pb,Default Response Set,8/7/17 13:20,2,Casual
60,64,Dissatisfied,1,Server,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,4,2,How satisfied were you with the following aspects of the restaurant experience?-Server,4,R_bDzqAkV2Rdc2L2d,R_bDzqAkV2Rdc2L2d,Default Response Set,8/7/17 13:20,2,Casual
40,55,Dissatisfied,1,Waiting Time,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,2,2,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_0xQbm34QzqiL2Pb,R_0xQbm34QzqiL2Pb,Default Response Set,8/7/17 13:20,2,Casual
60,64,Highly Satisfied,0,Waiting Time,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,2,4,How satisfied were you with the following aspects of the restaurant experience?-Waiting Time,2,R_bDzqAkV2Rdc2L2d,R_bDzqAkV2Rdc2L2d,Default Response Set,8/7/17 13:20,2,Casual
60,60,Highly Satisfied,0,Cleanliness,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,6,4,How satisfied were you with the following aspects of the restaurant experience?-Cleanliness,6,R_6LnYGoRDm6jxnV3,R_6LnYGoRDm6jxnV3,Default Response Set,8/7/17 13:20,2,One-off
60,60,Highly Satisfied,0,Food,,8/7/17 13:20,,1,Female,,-1,24.8527163,-64.3533057,Anonymous,1,5,4,How satisfied were you with the following aspects of the restaurant experience?-Food,5,R_6LnYGoRDm6jxnV3,R_6LnYGoRDm6jxnV3,Default Response Set,8/7/17 13:20,2,One-off
